,Palabras,+Women,+Women (valores),+Men,+Men (valores),+Tokio,+Tokio (valores),+Japan,+Japan (valores)
77,##.##pm,decades,0.7037093043327332,decades,0.6717731952667236,decades,0.4934091866016388,decades,0.6463953256607056
78,##.#M,many,0.5630338788032532,plenty,0.5321276187896729,few,0.46783801913261414,many,0.49743467569351196
79,##.#_ppg,United_States,0.617870569229126,United_States,0.5890322327613831,Police_Defuse_Bomb,0.3661161959171295,United_States,0.7216835618019104
80,##.#bn,four,0.7815228700637817,four,0.8201900720596313,four,0.6563944816589355,four,0.6769710779190063
81,##.#m,billion,0.6798502206802368,milion,0.665729284286499,milion,0.5989864468574524,billion,0.6356889009475708
82,##/##/##,us,0.5380011796951294,him,0.6398992538452148,us,0.45331209897994995,us,0.5168600082397461
83,##/##/####,exactly,0.5834971070289612,exactly,0.6438950300216675,exactly,0.48678773641586304,exactly,0.535250186920166
84,##/##/##_##:##,However,0.7328992486000061,Of_course,0.7273582220077515,However,0.5920621156692505,Yet,0.6412022113800049
85,##:##,because,0.5648561120033264,but,0.6215553283691406,too,0.4737359881401062,but,0.5350632071495056
86,##:##.#,No,0.5671651363372803,No,0.593268871307373,No,0.4718395173549652,any,0.5079391598701477
87,##:##.##,loooove,0.48936328291893005,really,0.49170443415641785,kinda_weird,0.418293297290802,kind,0.4480282664299011
88,##:##:##,unless,0.5489009618759155,unless,0.5873790979385376,Hypothetically_speaking,0.47447410225868225,unless,0.5228383541107178
89,##:##_AM,one,0.465692937374115,just,0.5289185047149658,just,0.4043360948562622,though,0.4638896584510803
90,##:##_AM_ET,pecent,0.643868625164032,%,0.6076474189758301,##percent,0.4984849691390991,perent,0.5693745017051697
91,##:##_PM,getting,0.6083170175552368,got,0.6696356534957886,got,0.49892234802246094,getting,0.5713358521461487
92,##:##_PM_ET,does,0.5741434693336487,didn_`_t,0.623253583908081,didn_`_t,0.5080689191818237,not,0.513431966304779
93,##A,her,0.694490909576416,himself,0.6194444894790649,me,0.4771795868873596,he,0.5054512023925781
94,##B,games,0.5807567238807678,games,0.6767863035202026,games,0.4794139862060547,games,0.5679149031639099
95,##C,out,0.4694844186306,out,0.5130462646484375,out,0.38293999433517456,out,0.4348445534706116
96,##GB,so,0.5441675782203674,but,0.6583297252655029,but,0.4357503056526184,but,0.5521808862686157
97,##K,Click_Clear,0.4942736327648163,still,0.5370422005653381,presently,0.40102988481521606,already,0.4731636643409729
98,##M,##.#,0.7112561464309692,##.#,0.7111446261405945,##.#,0.5932598114013672,##.#,0.5918715000152588
99,##am,after,0.605757474899292,after,0.6460576057434082,after,0.47016778588294983,after,0.5698606967926025
100,##bn,firm,0.5119675397872925,comany,0.5926518440246582,com_pany,0.5722987651824951,companies,0.47785672545433044
101,##c,whatsoever,0.530756950378418,whatsoever,0.5617259740829468,anything,0.457111656665802,or,0.48705965280532837
102,##ers,teams,0.514345645904541,squad,0.6436979174613953,squad,0.4728167653083801,teams,0.497352659702301
103,##k,againt,0.5614191293716431,againt,0.6556735038757324,againt,0.5666658878326416,againt,0.4496930241584778
104,##kg,away,0.5103775262832642,down,0.5356569290161133,down,0.42807960510253906,out,0.4466265141963959
105,##km,It,0.6494507789611816,That,0.7016217112541199,It,0.5386582016944885,That,0.6111528873443604
106,##m,themost,0.5423442721366882,themost,0.5495478510856628,particularly,0.3679675757884979,themost,0.5361431837081909
107,##mm,making,0.6168761253356934,making,0.648421049118042,making,0.4807037115097046,making,0.5724585056304932
108,##mph,thru,0.5488202571868896,throught,0.5364733934402466,thorugh,0.4954550862312317,into,0.41945260763168335
109,##nd,making,0.6063013672828674,making,0.6471378803253174,made,0.50600266456604,making,0.5557128190994263
110,##nm,third,0.7211707234382629,third,0.7526700496673584,fourth,0.5596877336502075,third,0.6689506769180298
111,##p,statewide,0.5191284418106079,thestate,0.4853799343109131,district,0.49129462242126465,nation,0.4829082190990448
112,##pc,as,0.47838565707206726,as,0.5342174768447876,excellently,0.3761788010597229,as,0.48344072699546814
113,##pm,week,0.5259438157081604,week,0.5556430220603943,morning,0.4685131311416626,week,0.4874430000782013
114,##rd,seasons,0.5591182708740234,seasons,0.6428573727607727,seson,0.5395868420600891,seasons,0.5116861462593079
115,##rd_minute,said,0.6220486164093018,said,0.6625331044197083,said,0.5344035029411316,said,0.5322209596633911
116,##s,month,0.7235085964202881,month,0.6596654057502747,month,0.5030614733695984,month,0.6417950987815857
117,##st,she,0.47813305258750916,in,0.49098268151283264,near,0.4353422522544861,elsewhere,0.47523730993270874
118,##st_Century,whilst,0.46859949827194214,meanwhile,0.5061195492744446,whilst,0.3826525807380676,meanwhile,0.4749301075935364
119,##st_century,up,0.4957275688648224,off,0.565290629863739,up,0.40228337049484253,up,0.4761391580104828
120,##th,having,0.4763580560684204,having,0.5289695858955383,having,0.3422444462776184,having,0.4873508810997009
121,##th_Anniversary,Government,0.5949306488037109,goverment,0.6225662231445312,goverment,0.4977058172225952,governments,0.5170762538909912
122,##th_anniversary,Your,0.6343996524810791,you,0.663945198059082,Your,0.5418875217437744,you,0.5684758424758911
123,##th_century,##-#,0.7012742757797241,##-#,0.7049550414085388,##-#,0.5940238833427429,##-#,0.5759210586547852
124,#'#,house,0.5110929012298584,house,0.41685718297958374,Honeysuckle_Lane,0.45096415281295776,homes,0.43329569697380066
125,"#,#",gonna,0.590648889541626,gonna,0.6369969248771667,gonna,0.5571544766426086,goingto,0.48949286341667175
126,"#,##",her,0.708427906036377,My,0.6354314684867859,My,0.5271140336990356,I,0.5355100035667419
127,"#,###",bad,0.5783591270446777,great,0.6368693113327026,nice,0.4949333965778351,great,0.5434352159500122
128,"#,###,###",We,0.6468873620033264,We,0.653394341468811,We,0.5161116123199463,We,0.5647429823875427
129,"#,###,###_#,###,###",'m,0.5740799903869629,'m,0.5946376323699951,¹_re,0.4916403889656067,are,0.49270176887512207
130,"#,###-#,###",ought,0.6383410096168518,ought,0.7112717032432556,ought,0.5433946251869202,ought,0.5803686380386353
131,"#,###.#",several,0.5716952085494995,some,0.571674644947052,several,0.4879782795906067,those,0.49864256381988525
132,"#,###.##",ways,0.48123490810394287,ways,0.4742635190486908,thing,0.3622681200504303,ways,0.46015113592147827
